      0        1        2     3        4       5        6       7      8       9       10     11      12      13       14      15      16      17      18      19      20     21       22     23      24       25      26      27      28     29      30       31      32       33     34      35     36       37     38      39       40     41      42       43     44      45       46     47      48       49
10   0.294   0.299  -0.230  -0.147   0.276   0.209   0.155   0.440   0.567   0.380   0.000  -0.069   0.236   0.586   0.293   0.506  -0.150   0.184   0.388   0.021   0.030  -0.050   0.012   0.119   0.465   0.115  -0.225   0.378  -0.455   0.176  -0.183  -0.383  -0.053   0.032   0.594   0.262  -0.391  -0.207   0.511   0.441  -0.035   0.471   0.300  -0.018   0.360   0.159  -0.203   0.188  -0.086   0.392
11  -0.554  -0.635  -0.447   0.523  -0.621  -0.472  -0.712   0.398  -0.622  -0.234  -0.069   0.000   0.536   0.158  -0.158  -0.396  -0.337   0.335  -0.436  -0.697  -0.649   0.513   0.555   0.822  -0.291  -0.469   0.362  -0.351   0.413   0.361  -0.348   0.361  -0.366  -0.708  -0.154  -0.784   0.038  -0.032  -0.296   0.464  -0.134  -0.343   0.089  -0.780  -0.061   0.092  -0.176  -0.728   0.511   0.124
12  -0.452  -0.496  -0.704   0.220  -0.542   0.031  -0.610   0.554  -0.230   0.046   0.236   0.536   0.000   0.508   0.133  -0.011  -0.620   0.620  -0.167  -0.747  -0.690   0.467   0.651   0.677   0.244  -0.436   0.396   0.050   0.049   0.662  -0.410   0.028  -0.223  -0.582   0.400  -0.374  -0.024  -0.229  -0.013   0.673  -0.357   0.280   0.600  -0.499   0.185   0.332   0.330  -0.685   0.274   0.627
13   0.088   0.345  -0.307   0.019   0.231   0.345   0.151   0.802   0.400   0.626   0.586   0.158   0.508   0.000   0.568   0.519  -0.277   0.212   0.483  -0.168  -0.138   0.222   0.140   0.224   0.384   0.218  -0.375   0.569  -0.512   0.234  -0.008  -0.146   0.063   0.008   0.819   0.089  -0.585  -0.197   0.722   0.648  -0.456   0.544   0.222   0.052   0.689  -0.105  -0.192  -0.066  -0.042   0.440
14  -0.037   0.424   0.227   0.069   0.561   0.719   0.472   0.315   0.376   0.886   0.293  -0.158   0.133   0.568   0.000   0.557   0.294   0.038   0.697   0.217   0.342   0.398  -0.387  -0.199   0.189   0.277  -0.411   0.777  -0.645  -0.265   0.625   0.312   0.452   0.170   0.568   0.442  -0.571  -0.241   0.696   0.197  -0.544   0.643  -0.244   0.316   0.573  -0.389  -0.209   0.202   0.053   0.077
15   0.183   0.503   0.199  -0.250   0.692   0.706   0.569   0.351   0.562   0.740   0.506  -0.396  -0.011   0.519   0.557   0.000   0.215  -0.161   0.794   0.258   0.551  -0.046  -0.432  -0.323   0.534   0.127  -0.542   0.819  -0.639  -0.173   0.465  -0.130   0.491   0.214   0.750   0.611  -0.361  -0.566   0.793   0.392  -0.143   0.730   0.029   0.493   0.561  -0.351  -0.145   0.523  -0.152   0.371
16   0.040   0.419   0.878   0.193   0.626   0.352   0.649  -0.438   0.025   0.381  -0.150  -0.337  -0.620  -0.277   0.294   0.215   0.000  -0.371   0.329   0.717   0.793   0.148  -0.790  -0.515  -0.377   0.277  -0.352   0.328  -0.227  -0.876   0.761   0.359   0.395   0.514  -0.268   0.485  -0.043   0.091   0.226  -0.324   0.014  -0.030  -0.752   0.428   0.229  -0.472  -0.344   0.609  -0.158  -0.578
17  -0.245  -0.497  -0.591   0.005  -0.554  -0.029  -0.575   0.315  -0.088  -0.037   0.184   0.335   0.620   0.212   0.038  -0.161  -0.371   0.000  -0.357  -0.476  -0.513   0.469   0.568   0.626   0.103  -0.503   0.611  -0.102  -0.001   0.442  -0.390  -0.054  -0.053  -0.413   0.101  -0.194   0.312  -0.024  -0.093   0.539  -0.275   0.179   0.397  -0.390  -0.013   0.596   0.504  -0.558  -0.037   0.533
18   0.234   0.667   0.342  -0.122   0.803   0.680   0.719   0.213   0.552   0.786   0.388  -0.436  -0.167   0.483   0.697   0.794   0.329  -0.357   0.000   0.444   0.577  -0.011  -0.540  -0.458   0.319   0.381  -0.664   0.774  -0.643  -0.339   0.597   0.094   0.491   0.342   0.630   0.573  -0.562  -0.352   0.824   0.067  -0.179   0.632  -0.226   0.564   0.618  -0.524  -0.338   0.530  -0.065   0.016
19   0.550   0.775   0.736  -0.233   0.749   0.325   0.835  -0.446   0.494   0.315   0.021  -0.697  -0.747  -0.168   0.217   0.258   0.717  -0.476   0.444   0.000   0.813  -0.319  -0.753  -0.760  -0.107   0.637  -0.501   0.318  -0.334  -0.696   0.505  -0.089   0.309   0.791  -0.099   0.713  -0.177   0.269   0.336  -0.533   0.231   0.054  -0.502   0.707   0.195  -0.252  -0.255   0.851  -0.403  -0.528
20   0.379   0.680   0.826  -0.173   0.866   0.529   0.856  -0.291   0.400   0.464   0.030  -0.649  -0.690  -0.138   0.342   0.551   0.793  -0.513   0.577   0.813   0.000  -0.251  -0.859  -0.767   0.028   0.401  -0.549   0.525  -0.455  -0.731   0.706  -0.020   0.505   0.605   0.066   0.801  -0.116  -0.137   0.465  -0.340   0.204   0.234  -0.508   0.666   0.247  -0.415  -0.307   0.885  -0.346  -0.344
21  -0.739  -0.396  -0.085   0.546  -0.255   0.190  -0.304   0.221  -0.453   0.351  -0.050   0.513   0.467   0.222   0.398  -0.046   0.148   0.469  -0.011  -0.319  -0.251   0.000   0.099   0.568  -0.346  -0.434   0.248   0.226  -0.082  -0.120   0.317   0.712   0.122  -0.375   0.021  -0.262  -0.017  -0.159   0.032   0.487  -0.560   0.118  -0.240  -0.299   0.331  -0.070   0.037  -0.503   0.349   0.092
22  -0.233  -0.629  -0.851  -0.021  -0.798  -0.446  -0.843   0.410  -0.285  -0.523   0.012   0.555   0.651   0.140  -0.387  -0.432  -0.790   0.568  -0.540  -0.753  -0.859   0.099   0.000   0.691   0.170  -0.436   0.581  -0.485   0.386   0.792  -0.792  -0.200  -0.334  -0.581   0.017  -0.617   0.268   0.045  -0.334   0.371  -0.019  -0.093   0.648  -0.603  -0.355   0.511   0.419  -0.731   0.150   0.461
23  -0.555  -0.718  -0.684   0.343  -0.754  -0.438  -0.820   0.470  -0.457  -0.235   0.119   0.822   0.677   0.224  -0.199  -0.323  -0.515   0.626  -0.458  -0.760  -0.767   0.568   0.691   0.000  -0.167  -0.623   0.521  -0.315   0.242   0.485  -0.485   0.231  -0.350  -0.725  -0.033  -0.723   0.142  -0.096  -0.285   0.644  -0.218  -0.194   0.291  -0.757  -0.066   0.385   0.116  -0.806   0.347   0.372
24   0.351   0.155  -0.317  -0.533   0.174   0.446   0.067   0.348   0.520   0.204   0.465  -0.291   0.244   0.384   0.189   0.534  -0.377   0.103   0.319  -0.107   0.028  -0.346   0.170  -0.167   0.000   0.018  -0.108   0.408  -0.242   0.512  -0.179  -0.561   0.259  -0.057   0.728   0.369  -0.028  -0.426   0.418   0.267  -0.005   0.663   0.661   0.215   0.072   0.130   0.283   0.166  -0.048   0.656
25   0.604   0.826   0.465  -0.069   0.603   0.184   0.723  -0.087   0.534   0.270   0.115  -0.469  -0.436   0.218   0.277   0.127   0.277  -0.503   0.381   0.637   0.401  -0.434  -0.436  -0.623   0.018   0.000  -0.721   0.289  -0.371  -0.382   0.229  -0.254  -0.037   0.821   0.114   0.418  -0.474   0.494   0.394  -0.432  -0.049  -0.002  -0.341   0.544   0.302  -0.264  -0.344   0.584  -0.378  -0.500
26  -0.327  -0.774  -0.516  -0.067  -0.769  -0.400  -0.780  -0.159  -0.465  -0.546  -0.225   0.362   0.396  -0.375  -0.411  -0.542  -0.352   0.611  -0.664  -0.501  -0.549   0.248   0.581   0.521  -0.108  -0.721   0.000  -0.597   0.578   0.478  -0.495   0.060  -0.149  -0.619  -0.376  -0.436   0.537  -0.036  -0.640   0.065   0.121  -0.187   0.447  -0.554  -0.515   0.535   0.506  -0.608   0.233   0.285
27   0.052   0.543   0.326  -0.009   0.685   0.875   0.615   0.321   0.476   0.886   0.378  -0.351   0.050   0.569   0.777   0.819   0.328  -0.102   0.774   0.318   0.525   0.226  -0.485  -0.315   0.408   0.289  -0.597   0.000  -0.751  -0.304   0.647   0.062   0.485   0.340   0.713   0.651  -0.378  -0.388   0.786   0.333  -0.393   0.729  -0.150   0.557   0.707  -0.340  -0.093   0.447  -0.130   0.218
28  -0.187  -0.552  -0.242   0.035  -0.600  -0.642  -0.577  -0.400  -0.545  -0.675  -0.455   0.413   0.049  -0.512  -0.645  -0.639  -0.227  -0.001  -0.643  -0.334  -0.455  -0.082   0.386   0.242  -0.242  -0.371   0.578  -0.751   0.000   0.337  -0.420   0.103  -0.381  -0.414  -0.595  -0.614   0.329   0.218  -0.735  -0.221   0.282  -0.553   0.208  -0.465  -0.556   0.110   0.082  -0.391   0.494  -0.119
29  -0.022  -0.468  -0.850  -0.250  -0.614  -0.246  -0.684   0.387  -0.033  -0.361   0.176   0.361   0.662   0.234  -0.265  -0.173  -0.876   0.442  -0.339  -0.696  -0.731  -0.120   0.792   0.485   0.512  -0.382   0.478  -0.304   0.337   0.000  -0.756  -0.364  -0.272  -0.586   0.283  -0.405   0.146  -0.138  -0.184   0.362   0.017   0.122   0.861  -0.464  -0.263   0.464   0.387  -0.566   0.227   0.657
30  -0.158   0.413   0.748   0.171   0.674   0.642   0.666  -0.205   0.064   0.689  -0.183  -0.348  -0.410  -0.008   0.625   0.465   0.761  -0.390   0.597   0.505   0.706   0.317  -0.792  -0.485  -0.179   0.229  -0.495   0.647  -0.420  -0.756   0.000   0.548   0.564   0.390   0.097   0.476  -0.247  -0.200   0.414  -0.143  -0.338   0.303  -0.698   0.558   0.440  -0.673  -0.262   0.449  -0.000  -0.346
31  -0.655  -0.281   0.230   0.520  -0.062   0.063  -0.098  -0.155  -0.518   0.241  -0.383   0.361   0.028  -0.146   0.312  -0.130   0.359  -0.054   0.094  -0.089  -0.020   0.712  -0.200   0.231  -0.561  -0.254   0.060   0.062   0.103  -0.364   0.548   0.000   0.214  -0.261  -0.286  -0.316  -0.144  -0.069  -0.109  -0.002  -0.376  -0.117  -0.552  -0.142   0.135  -0.439  -0.227  -0.288   0.492  -0.344
32   0.063   0.224   0.316  -0.317   0.469   0.637   0.358   0.016   0.181   0.455  -0.053  -0.366  -0.223   0.063   0.452   0.491   0.395  -0.053   0.491   0.309   0.505   0.122  -0.334  -0.350   0.259  -0.037  -0.149   0.485  -0.381  -0.272   0.564   0.214   0.000   0.123   0.322   0.485   0.080  -0.398   0.501  -0.019  -0.108   0.538  -0.121   0.528   0.194  -0.347   0.128   0.332  -0.162   0.115
33   0.532   0.812   0.622  -0.157   0.651   0.302   0.804  -0.309   0.523   0.276   0.032  -0.708  -0.582   0.008   0.170   0.214   0.514  -0.413   0.342   0.791   0.605  -0.375  -0.581  -0.725  -0.057   0.821  -0.619   0.340  -0.414  -0.586   0.390  -0.261   0.123   0.000  -0.005   0.616  -0.211   0.473   0.343  -0.423  -0.026   0.072  -0.445   0.737   0.289  -0.212  -0.100   0.732  -0.604  -0.490
34   0.174   0.348  -0.242  -0.248   0.371   0.632   0.252   0.682   0.527   0.648   0.594  -0.154   0.400   0.819   0.568   0.750  -0.268   0.101   0.630  -0.099   0.066   0.021   0.017  -0.033   0.728   0.114  -0.376   0.713  -0.595   0.283   0.097  -0.286   0.322  -0.005   0.000   0.359  -0.390  -0.503   0.772   0.553  -0.314   0.802   0.391   0.278   0.591  -0.129   0.025   0.108  -0.080   0.636
35   0.485   0.694   0.532  -0.332   0.767   0.715   0.761  -0.122   0.636   0.512   0.262  -0.784  -0.374   0.089   0.442   0.611   0.485  -0.194   0.573   0.713   0.801  -0.262  -0.617  -0.723   0.369   0.418  -0.436   0.651  -0.614  -0.405   0.476  -0.316   0.485   0.616   0.359   0.000  -0.087  -0.128   0.554  -0.194   0.113   0.536  -0.123   0.698   0.304  -0.097   0.050   0.806  -0.504  -0.002
36  -0.117  -0.544  -0.038  -0.111  -0.476  -0.142  -0.427  -0.321  -0.403  -0.572  -0.391   0.038  -0.024  -0.585  -0.571  -0.361  -0.043   0.312  -0.562  -0.177  -0.116  -0.017   0.268   0.142  -0.028  -0.474   0.537  -0.378   0.329   0.146  -0.247  -0.144   0.080  -0.211  -0.390  -0.087   0.000  -0.014  -0.498  -0.070   0.305  -0.263   0.207  -0.095  -0.452   0.454   0.616  -0.228  -0.133   0.137
37   0.263   0.177   0.136   0.108  -0.128  -0.423   0.048  -0.340   0.039  -0.318  -0.207  -0.032  -0.229  -0.197  -0.241  -0.566   0.091  -0.024  -0.352   0.269  -0.137  -0.159   0.045  -0.096  -0.426   0.494  -0.036  -0.388   0.218  -0.138  -0.200  -0.069  -0.398   0.473  -0.503  -0.128  -0.014   0.000  -0.273  -0.420  -0.031  -0.496  -0.275   0.016  -0.179   0.180  -0.014   0.043  -0.238  -0.583
38   0.326   0.670   0.191  -0.167   0.717   0.671   0.617   0.516   0.619   0.799   0.511  -0.296  -0.013   0.722   0.696   0.793   0.226  -0.093   0.824   0.336   0.465   0.032  -0.334  -0.285   0.418   0.394  -0.640   0.786  -0.735  -0.184   0.414  -0.109   0.501   0.343   0.772   0.554  -0.498  -0.273   0.000   0.338  -0.296   0.663  -0.096   0.484   0.682  -0.371  -0.280   0.458  -0.238   0.201
39  -0.365  -0.265  -0.494   0.145  -0.225   0.168  -0.330   0.717  -0.016   0.331   0.441   0.464   0.673   0.648   0.197   0.392  -0.324   0.539   0.067  -0.533  -0.340   0.487   0.371   0.644   0.267  -0.432   0.065   0.333  -0.221   0.362  -0.143  -0.002  -0.019  -0.423   0.553  -0.194  -0.070  -0.420   0.338   0.000  -0.396   0.357   0.321  -0.284   0.427   0.130   0.098  -0.385   0.106   0.680
40   0.343   0.010   0.054  -0.234   0.029  -0.311  -0.013  -0.304  -0.003  -0.497  -0.035  -0.134  -0.357  -0.456  -0.544  -0.143   0.014  -0.275  -0.179   0.231   0.204  -0.560  -0.019  -0.218  -0.005  -0.049   0.121  -0.393   0.282   0.017  -0.338  -0.376  -0.108  -0.026  -0.314   0.113   0.305  -0.031  -0.296  -0.396   0.000  -0.285   0.177  -0.060  -0.445   0.240  -0.057   0.315  -0.111  -0.085
41   0.057   0.291  -0.102  -0.311   0.428   0.781   0.290   0.375   0.500   0.663   0.471  -0.343   0.280   0.544   0.643   0.730  -0.030   0.179   0.632   0.054   0.234   0.118  -0.093  -0.194   0.663  -0.002  -0.187   0.729  -0.553   0.122   0.303  -0.117   0.538   0.072   0.802   0.536  -0.263  -0.496   0.663   0.357  -0.285   0.000   0.276   0.397   0.436  -0.119   0.240   0.219  -0.127   0.545
42   0.129  -0.336  -0.754  -0.419  -0.438  -0.066  -0.510   0.304   0.121  -0.288   0.300   0.089   0.600   0.222  -0.244   0.029  -0.752   0.397  -0.226  -0.502  -0.508  -0.240   0.648   0.291   0.661  -0.341   0.447  -0.150   0.208   0.861  -0.698  -0.552  -0.121  -0.445   0.391  -0.123   0.207  -0.275  -0.096   0.321   0.177   0.276   0.000  -0.281  -0.220   0.528   0.485  -0.324   0.084   0.750
43   0.443   0.708   0.552  -0.430   0.694   0.617   0.790  -0.262   0.558   0.458  -0.018  -0.780  -0.499   0.052   0.316   0.493   0.428  -0.390   0.564   0.707   0.666  -0.299  -0.603  -0.757   0.215   0.544  -0.554   0.557  -0.465  -0.464   0.558  -0.142   0.528   0.737   0.278   0.698  -0.095   0.016   0.484  -0.284  -0.060   0.397  -0.281   0.000   0.379  -0.313   0.115   0.676  -0.446  -0.165
44   0.000   0.490   0.220   0.259   0.461   0.572   0.486   0.382   0.275   0.768   0.360  -0.061   0.185   0.689   0.573   0.561   0.229  -0.013   0.618   0.195   0.247   0.331  -0.355  -0.066   0.072   0.302  -0.515   0.707  -0.556  -0.263   0.440   0.135   0.194   0.289   0.591   0.304  -0.452  -0.179   0.682   0.427  -0.445   0.436  -0.220   0.379   0.000  -0.353  -0.264   0.178  -0.107   0.090
45   0.099  -0.375  -0.509  -0.232  -0.568  -0.308  -0.502  -0.010   0.049  -0.467   0.159   0.092   0.332  -0.105  -0.389  -0.351  -0.472   0.596  -0.524  -0.252  -0.415  -0.070   0.511   0.385   0.130  -0.264   0.535  -0.340   0.110   0.464  -0.673  -0.439  -0.347  -0.212  -0.129  -0.097   0.454   0.180  -0.371   0.130   0.240  -0.119   0.528  -0.313  -0.353   0.000   0.550  -0.302  -0.158   0.332
46  -0.153  -0.409  -0.375  -0.359  -0.452   0.136  -0.382  -0.135  -0.025  -0.283  -0.203  -0.176   0.330  -0.192  -0.209  -0.145  -0.344   0.504  -0.338  -0.255  -0.307   0.037   0.419   0.116   0.283  -0.344   0.506  -0.093   0.082   0.387  -0.262  -0.227   0.128  -0.100   0.025   0.050   0.616  -0.014  -0.280   0.098  -0.057   0.240   0.485   0.115  -0.264   0.550   0.000  -0.302  -0.231   0.436
47   0.605   0.808   0.671  -0.306   0.861   0.406   0.856  -0.279   0.608   0.354   0.188  -0.728  -0.685  -0.066   0.202   0.523   0.609  -0.558   0.530   0.851   0.885  -0.503  -0.731  -0.806   0.166   0.584  -0.608   0.447  -0.391  -0.566   0.449  -0.288   0.332   0.732   0.108   0.806  -0.228   0.043   0.458  -0.385   0.315   0.219  -0.324   0.676   0.178  -0.302  -0.302   0.000  -0.419  -0.309
48  -0.395  -0.448  -0.221   0.234  -0.287  -0.165  -0.390  -0.071  -0.383  -0.014  -0.086   0.511   0.274  -0.042   0.053  -0.152  -0.158  -0.037  -0.065  -0.403  -0.346   0.349   0.150   0.347  -0.048  -0.378   0.233  -0.130   0.494   0.227  -0.000   0.492  -0.162  -0.604  -0.080  -0.504  -0.133  -0.238  -0.238   0.106  -0.111  -0.127   0.084  -0.446  -0.107  -0.158  -0.231  -0.419   0.000   0.079
49  -0.089  -0.307  -0.672  -0.315  -0.248   0.248  -0.377   0.533   0.162   0.134   0.392   0.124   0.627   0.440   0.077   0.371  -0.578   0.533   0.016  -0.528  -0.344   0.092   0.461   0.372   0.656  -0.500   0.285   0.218  -0.119   0.657  -0.346  -0.344   0.115  -0.490   0.636  -0.002   0.137  -0.583   0.201   0.680  -0.085   0.545   0.750  -0.165   0.090   0.332   0.436  -0.309   0.079   0.000
